"Afficinando",12025,1310,"Other Concerts"
"AFI",3893,1310,"Other Concerts"
"Afro-Cuban All Stars",2091,1310,"Other Concerts"
"Afro-Fest",12453,1310,"Other Concerts"
"Afroman",8931,1310,"Other Concerts"
"After Alice",12205,1310,"Other Concerts"
"After Forever",13229,1310,"Other Concerts"
"After The Show - Birthday Tribute",11393,1310,"Other Concerts"
"After Valentines Bash",12668,1310,"Other Concerts"
"After X-Mas Tragedy",11626,1310,"Other Concerts"
"Against All Authority",6870,1310,"Other Concerts"
"Against Me",12170,1310,"Other Concerts"
"Against the Fire",12206,1310,"Other Concerts"
"Agent Orange",12003,1310,"Other Concerts"
"Aggressive Music Festival",7210,1310,"Other Concerts"
"Agnostic Front",12171,1310,"Other Concerts"
"Ahmad Jamal",11300,1310,"Other Concerts"
"Ahn Trio",5578,1310,"Other Concerts"
"Aiden",13804,1310,"Other Concerts"
"Aimard Plays Brahms",7547,1310,"Other Concerts"
"Aimee Mann",1178,1310,"Other Concerts"
"Air",1969,1310,"Other Concerts"
"Air Supply",1696,1311,"Pop"
"Air This Side of Caution",8570,1310,"Other Concerts"
"Airbourne",14974,1310,"Other Concerts"
"Airiel",9007,1310,"Other Concerts"
"Airpushers",12031,1310,"Other Concerts"
"Aiw Diehard",9969,1310,"Other Concerts"
"AJ Croce",12726,1310,"Other Concerts"
"Akon",12163,1310,"Other Concerts"
"Akron/Family",12280,1310,"Other Concerts"
"Akwid",6858,1310,"Other Concerts"
"Al Bano",13556,1310,"Other Concerts"
"Al Di Meola",3608,1310,"Other Concerts"
"Al Green",1700,1313,"R&B"
"Al Jardine's Endless Summer Band",12190,1310,"Other Concerts"
"Al Jarreau",12,1303,"Blues and Jazz"
"Al Kooper",8139,1310,"Other Concerts"
"Al Martino",2858,1310,"Other Concerts"
"Al Roker's Xxxlmas",11760,1310,"Other Concerts"
"Al Stewart",7731,1310,"Other Concerts"
"Alaadeen",13337,1310,"Other Concerts"
"Alabama",13,1310,"Other Concerts"
"Alabama Symphony Orchestra",8502,1310,"Other Concerts"
"Alabama Thunder Pussy",11228,1310,"Other Concerts"
"Alabina",1747,1310,"Other Concerts"
"Alan Gilbert",2541,1310,"Other Concerts"
"Alan Jackson",15,1306,"Country and Folk"
"Alan Parsons Project",5496,1304,"Classic Rock"
